starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 25 19:18:15 2017	1511655495	0	1	1	1
Sat Nov 25 19:18:18 2017	1511655498	0	1	1	1
Sat Nov 25 19:18:24 2017	1511655504	0	1	1	1
Sat Nov 25 19:18:21 2017	1511655501	0	1	1	1
Sat Nov 25 19:18:21 2017	1511655501	0	1	1	1
Sat Nov 25 19:18:21 2017	1511655501	0	1	1	1
Sat Nov 25 19:18:23 2017	1511655503	0	1	1	1
Sat Nov 25 19:18:25 2017	1511655505	0	1	1	1
Sat Nov 25 19:18:23 2017	1511655503	0	1	1	1
Sat Nov 25 19:18:21 2017	1511655501	0	1	1	1
Sat Nov 25 19:18:23 2017	1511655503	0	1	1	1
Sat Nov 25 19:18:24 2017	1511655504	0	1	1	1
Sat Nov 25 19:18:25 2017	1511655505	0	1	1	1
Sat Nov 25 19:18:21 2017	1511655501	0	1	1	1
Sat Nov 25 19:18:19 2017	1511655499	0	1	1	1
Sat Nov 25 19:18:17 2017	1511655497	0	1	1	1
Sat Nov 25 19:18:20 2017	1511655500	0	1	1	1
Sat Nov 25 19:18:21 2017	1511655501	0	1	1	1
Sat Nov 25 19:18:17 2017	1511655497	0	1	1	1
Sat Nov 25 19:18:15 2017	1511655495	0	1	1	1
Sat Nov 25 19:18:16 2017	1511655496	0	1	1	1
Sat Nov 25 19:18:23 2017	1511655503	0	1	1	1
Sat Nov 25 19:18:21 2017	1511655501	0	1	1	1
Sat Nov 25 19:18:21 2017	1511655501	0	1	1	1
Sat Nov 25 19:18:20 2017	1511655500	0	1	1	1
Sat Nov 25 19:18:16 2017	1511655496	0	1	1	1
Sat Nov 25 19:18:15 2017	1511655495	0	1	1	1
Sat Nov 25 19:18:22 2017	1511655502	0	1	1	1
Sat Nov 25 19:18:16 2017	1511655496	0	1	1	1
Sat Nov 25 19:18:16 2017	1511655496	0	1	1	1
Sat Nov 25 19:18:22 2017	1511655502	0	1	1	1
Sat Nov 25 19:18:23 2017	1511655503	0	1	1	1
Sat Nov 25 19:18:15 2017	1511655495	0	1	1	1
Sat Nov 25 19:18:21 2017	1511655501	0	1	1	1
Sat Nov 25 19:18:22 2017	1511655502	0	1	1	1
Sat Nov 25 19:18:25 2017	1511655505	0	1	1	1
Sat Nov 25 19:18:15 2017	1511655495	0	1	1	1
Sat Nov 25 19:18:16 2017	1511655496	0	1	1	1
Sat Nov 25 19:18:18 2017	1511655498	0	1	1	1
Sat Nov 25 19:18:15 2017	1511655495	0	1	1	1
Sat Nov 25 19:18:15 2017	1511655495	0	1	1	1
Sat Nov 25 19:18:16 2017	1511655496	0	1	1	1
Sat Nov 25 19:18:17 2017	1511655497	0	1	1	1
Sat Nov 25 19:18:17 2017	1511655497	0	1	1	1
Sat Nov 25 19:18:18 2017	1511655498	0	1	1	1
Sat Nov 25 19:18:18 2017	1511655498	0	1	1	1
Sat Nov 25 19:18:19 2017	1511655499	0	1	1	1
Sat Nov 25 19:18:23 2017	1511655503	0	1	1	1
Sat Nov 25 19:18:17 2017	1511655497	0	1	1	1
Sat Nov 25 19:18:24 2017	1511655504	0	1	1	1
Sat Nov 25 19:18:18 2017	1511655498	0	1	1	1
Sat Nov 25 19:18:18 2017	1511655498	0	1	1	1
Sat Nov 25 19:18:22 2017	1511655502	0	1	1	1
Sat Nov 25 19:18:19 2017	1511655499	0	1	1	1
Sat Nov 25 19:18:16 2017	1511655496	0	1	1	1
Sat Nov 25 19:18:17 2017	1511655497	0	1	1	1
Sat Nov 25 19:18:20 2017	1511655500	0	1	1	1
Sat Nov 25 19:18:20 2017	1511655500	0	1	1	1
